Število povezav,Graf,Dolžina najdaljše poti - Color coding,Čas,Dolžina najdaljše poti - DFS,Čas
37,"{0: [1, 2, 4, 8], 1: [3, 4, 8], 2: [0, 4, 6, 7, 8], 3: [2, 4, 6, 8], 4: [3, 8], 5: [4, 6, 8], 6: [0, 2, 3, 4, 5, 7], 7: [0, 1, 2, 3, 5], 8: [2, 4, 5, 6, 7]}",7,2.706929922103882,9,0.010337114334106445
42,"{0: [1, 3, 4, 5, 6], 1: [0, 3, 4, 5, 6, 8], 2: [0, 1, 5, 7, 8], 3: [1, 4, 5, 6], 4: [0, 1, 3, 6, 7], 5: [1, 2, 3], 6: [1, 2, 7, 8], 7: [1, 3, 8], 8: [1, 2, 3, 4, 5, 6, 7]}",6,2.734957695007324,9,0.025228023529052734
39,"{0: [5, 8], 1: [2, 4], 2: [0, 1, 4, 5, 6, 7], 3: [2, 4, 5, 6, 8], 4: [2, 5, 6, 7, 8], 5: [1, 2, 3, 4], 6: [0, 1, 4, 5, 8], 7: [0, 2, 3, 5, 6], 8: [1, 2, 3, 4, 7]}",6,2.632676839828491,9,0.017379045486450195
37,"{0: [3, 4, 5, 6, 8], 1: [0, 3, 4, 7], 2: [0, 1, 6, 8], 3: [1, 4, 6, 8], 4: [0, 1, 2, 3, 8], 5: [1, 2, 6, 7], 6: [2, 3, 5], 7: [1, 5, 6, 8], 8: [1, 3, 5, 6]}",8,2.554030179977417,9,0.012421131134033203
36,"{0: [1, 3, 5, 6], 1: [2, 4, 5, 7, 8], 2: [4, 5, 6, 7, 8], 3: [1, 2, 5, 7, 8], 4: [0, 1, 5, 8], 5: [1, 2, 4], 6: [1, 2, 3, 4, 5], 7: [0, 2], 8: [2, 4, 7]}",8,2.545238971710205,9,0.010233163833618164
33,"{0: [2, 4, 8], 1: [0, 2, 3, 5], 2: [0, 1, 6, 7, 8], 3: [1, 5, 6, 7, 8], 4: [0, 2, 5, 7], 5: [0, 2, 7], 6: [0, 1, 5], 7: [2, 4, 6], 8: [2, 3, 5]}",7,2.49718976020813,9,0.008825063705444336
37,"{0: [1, 4, 5, 8], 1: [0, 2, 4, 6], 2: [1, 4, 6, 7], 3: [0, 1, 4, 5, 6], 4: [0, 6, 7, 8], 5: [0, 3, 4, 6], 6: [1, 7], 7: [1, 2, 4, 5, 6, 8], 8: [0, 2, 5, 7]}",6,2.6328887939453125,9,0.010519981384277344
35,"{0: [1, 4, 5, 6], 1: [0, 2, 5], 2: [1, 4, 6, 7], 3: [1, 4, 5, 6], 4: [1, 5, 6, 7], 5: [0, 2, 3, 8], 6: [0, 2, 4, 7], 7: [0, 2, 3, 4, 6], 8: [0, 2, 5]}",7,2.766011953353882,9,0.008186817169189453
37,"{0: [2, 4, 8], 1: [0, 2, 4, 5, 7], 2: [5, 7], 3: [0, 1, 2, 6, 7, 8], 4: [0, 2, 3, 5, 7], 5: [0, 1, 4], 6: [1, 3, 8], 7: [3, 4, 5, 6], 8: [0, 2, 3, 5, 6, 7]}",8,2.683152914047241,9,0.012359857559204102
41,"{0: [1, 2, 4, 5, 6, 7, 8], 1: [0, 3, 4, 5, 6, 8], 2: [1, 4, 5, 6, 7, 8], 3: [0, 1, 2, 7], 4: [7, 8], 5: [1, 6, 7, 8], 6: [1, 2, 3, 8], 7: [0, 1, 3, 5, 6], 8: [0, 4, 7]}",7,2.78486704826355,9,0.023788928985595703
34,"{0: [4, 5], 1: [0, 4, 5, 6], 2: [3, 4, 5, 6, 8], 3: [0], 4: [3, 5, 7], 5: [0, 1, 2, 3, 4, 7], 6: [0, 2, 3, 5, 8], 7: [1, 4, 5, 6, 8], 8: [2, 5, 6]}",7,2.94626784324646,9,0.005970954895019531
32,"{0: [1, 2, 3, 7, 8], 1: [0, 4, 6, 7], 2: [3, 6, 8], 3: [1, 2, 7, 8], 4: [2, 3, 5, 6, 7, 8], 5: [2, 6, 8], 6: [1, 2, 3], 7: [0, 1, 2, 3], 8: []}",7,2.713926076889038,9,0.002012014389038086
35,"{0: [1, 4], 1: [0, 2, 4, 6, 7], 2: [3, 7, 8], 3: [1, 4, 6, 8], 4: [0, 1, 3, 8], 5: [0, 1, 3, 4, 8], 6: [1, 2, 4, 8], 7: [0, 1, 4, 5, 6], 8: [2, 4, 6]}",8,2.6513211727142334,9,0.0062007904052734375
35,"{0: [2, 4, 6], 1: [3, 4, 6, 7], 2: [3, 8], 3: [1, 2, 7, 8], 4: [0, 6, 7, 8], 5: [0, 1, 3, 4, 7, 8], 6: [1, 4, 7], 7: [2, 3, 6, 8], 8: [0, 1, 2, 6, 7]}",6,2.8827550411224365,9,0.006119966506958008
40,"{0: [3, 4, 6, 7], 1: [0, 2, 3, 6, 7, 8], 2: [5], 3: [0, 1, 2, 4, 6, 8], 4: [0, 2, 3], 5: [0, 1, 3, 4, 7], 6: [1, 3, 7], 7: [1, 2, 3, 4, 5, 6, 8], 8: [1, 2, 3, 4, 6]}",6,2.824399948120117,9,0.01694798469543457
