Število povezav,najvecja dovoljena utez,najmanjsa dovoljena utez,Graf,Dolžina najdaljše poti med prvim in zadnjim vozliscem,Čas
31,3,-4,"{0: {1: 0, 3: 2, 5: 1, 6: -3, 7: -3, 9: 3}, 1: {2: -2, 5: -3, 6: 0, 7: -4, 9: 0}, 2: {3: -3, 4: 3, 5: 0, 6: -4, 7: -4, 8: -1, 9: -3}, 3: {4: -3, 5: 3, 8: -3, 9: 2}, 4: {5: 1, 9: 0}, 5: {6: 0}, 6: {7: -1, 8: -3}, 7: {8: -1, 9: -2}, 8: {9: -1}, 9: {10: -2}}",4,2.7894973754882812e-05
25,3,-4,"{0: {1: 2, 3: -2, 7: 0, 8: -4, 9: -4}, 1: {2: -2, 4: 0, 7: 0, 8: -4, 9: 2}, 2: {3: 3, 8: -4}, 3: {4: -3, 5: 2, 8: -4}, 4: {5: 3}, 5: {6: -3, 7: -4, 8: 2}, 6: {7: 1, 8: 3}, 7: {8: -2, 9: 2}, 8: {9: 0}, 9: {10: 3}}",7,2.4080276489257812e-05
28,3,-4,"{0: {1: -4, 2: 2, 4: 1, 6: -1, 7: 1, 8: 3, 9: -3}, 1: {2: -2, 7: -3, 8: -1, 9: 1}, 2: {3: 3, 6: -3, 7: -2}, 3: {4: -1, 5: 2, 6: -2, 7: 3, 8: -4, 9: -4}, 4: {5: -3, 9: -4}, 5: {6: -2, 9: -2}, 6: {7: 2}, 7: {8: -2}, 8: {9: -2}, 9: {10: 3}}",5,2.4080276489257812e-05
27,3,-4,"{0: {1: -4, 8: -1, 9: 3}, 1: {2: 2, 3: 2, 5: 2, 7: -3, 9: 3}, 2: {3: -4, 7: 2, 8: 0}, 3: {4: -2, 6: -2, 8: 3}, 4: {5: 0, 6: -4, 7: 2, 9: -4}, 5: {6: -2, 7: -2, 8: 1}, 6: {7: -2, 8: 0}, 7: {8: -2, 9: -3}, 8: {9: -3}, 9: {10: 1}}",3,2.193450927734375e-05
29,3,-4,"{0: {1: 1, 6: 2, 8: 1}, 1: {2: -4, 3: 1, 4: 1, 7: 3, 8: -4, 9: 3}, 2: {3: -2, 4: -4, 5: 3, 6: 3, 7: 3, 9: -1}, 3: {4: 2, 6: -2}, 4: {5: -2, 7: -4, 9: 3}, 5: {6: 3, 7: -4, 8: 2}, 6: {7: -1, 9: 2}, 7: {8: 0, 9: -2}, 8: {9: -4}, 9: {10: -1}}",7,2.3126602172851562e-05
29,3,-4,"{0: {1: 0, 3: 2, 4: 0, 6: 1, 7: 2, 8: -2}, 1: {2: 2, 3: -3, 5: 2}, 2: {3: 2, 6: -4, 7: -3}, 3: {4: -4, 5: -2, 6: -4, 7: -1, 8: -4}, 4: {5: -1, 7: 3, 8: 0, 9: -1}, 5: {6: 3, 8: -2}, 6: {7: -2, 8: 1}, 7: {8: 0, 9: 1}, 8: {9: 3}, 9: {10: 1}}",9,2.3126602172851562e-05
33,3,-4,"{0: {1: -3, 2: -2, 3: 0, 4: 0, 5: 0, 7: -2, 8: -3}, 1: {2: -4, 4: 3, 5: -4, 6: -3, 7: -2, 8: 1, 9: 2}, 2: {3: 0, 4: -1, 7: 0, 9: -3}, 3: {4: 0, 5: 1, 6: -2, 9: 1}, 4: {5: -1, 8: 2, 9: -2}, 5: {6: -4, 9: 1}, 6: {7: -4, 9: -2}, 7: {8: -4, 9: 0}, 8: {9: -3}, 9: {10: 2}}",2,2.288818359375e-05
22,3,-4,"{0: {1: 3, 3: -3, 5: 2, 6: -2, 8: 3}, 1: {2: -4, 3: 3, 5: -4, 6: 1}, 2: {3: -3, 5: -4}, 3: {4: -3}, 4: {5: 0, 6: 0}, 5: {6: 3, 8: -2}, 6: {7: -2, 9: -4}, 7: {8: 1, 9: 3}, 8: {9: -3}, 9: {10: 2}}",7,1.9788742065429688e-05
28,3,-4,"{0: {1: -2, 2: 3, 3: 1, 5: 1, 6: 0}, 1: {2: -2, 4: -2, 5: 2, 9: 3}, 2: {3: -2, 6: -1, 9: 3}, 3: {4: 1, 5: -2, 8: 2}, 4: {5: 3, 7: 2, 8: -3, 9: 3}, 5: {6: 3, 8: -2}, 6: {7: 2, 8: 0, 9: -2}, 7: {8: 3, 9: -1}, 8: {9: 0}, 9: {10: -3}}",13,2.1219253540039062e-05
32,3,-4,"{0: {1: 0, 3: -2, 4: -2, 8: 3, 9: 0}, 1: {2: 2, 3: 1, 4: 3, 6: 0, 7: 0, 8: -2, 9: 2}, 2: {3: -4, 4: 2, 6: -4, 8: 2, 9: -1}, 3: {4: 3, 5: 3, 7: -4, 8: -2}, 4: {5: -4, 8: -2, 9: -2}, 5: {6: -4, 7: -4}, 6: {7: 3, 8: 1, 9: -2}, 7: {8: 3}, 8: {9: -1}, 9: {10: -2}}",5,2.193450927734375e-05
30,3,-4,"{0: {1: 1, 7: 2}, 1: {2: 2, 3: -3, 5: -1, 7: -3, 8: -4, 9: 1}, 2: {3: -3, 4: 1, 6: -1, 8: 3, 9: -3}, 3: {4: 1, 6: -2, 7: 0}, 4: {5: -2, 6: 0, 7: 2, 8: 2}, 5: {6: 1, 7: 3, 8: 3}, 6: {7: 1, 8: -2, 9: 0}, 7: {8: -3, 9: 2}, 8: {9: -3}, 9: {10: 1}}",8,2.09808349609375e-05
30,3,-4,"{0: {1: -1, 2: -4, 8: 1, 9: -3}, 1: {2: 0, 3: -1, 4: -4, 5: 3, 6: 3, 8: -1, 9: 1}, 2: {3: -1, 7: 1, 8: 2}, 3: {4: 0, 6: -3, 7: 3, 9: -4}, 4: {5: -3, 6: -4, 7: -3, 8: 2}, 5: {6: -3, 7: -2}, 6: {7: -4, 9: 2}, 7: {8: 1, 9: 0}, 8: {9: 0}, 9: {10: 2}}",4,1.9788742065429688e-05
30,3,-4,"{0: {1: -2, 3: -4, 4: -1, 7: 1}, 1: {2: -2, 3: 0, 5: -1, 8: 2, 9: 3}, 2: {3: 2, 5: 2, 7: -1, 8: -3, 9: 1}, 3: {4: 0, 6: -1, 7: -1, 9: -4}, 4: {5: -3, 7: 1, 8: 1}, 5: {6: -3, 8: 1}, 6: {7: 1, 8: -2, 9: 1}, 7: {8: 2, 9: 3}, 8: {9: 2}, 9: {10: -4}}",5,2.002716064453125e-05
27,3,-4,"{0: {1: 0, 5: 2, 7: -3, 9: -3}, 1: {2: 2, 4: 3, 5: -2, 6: -3, 9: -2}, 2: {3: -1, 4: -4, 7: 1, 8: 3}, 3: {4: 3, 5: -4, 6: -3}, 4: {5: -2, 9: -2}, 5: {6: 3, 7: -3, 8: 1}, 6: {7: -4, 9: -1}, 7: {8: 2, 9: -3}, 8: {9: -2}, 9: {10: 2}}",4,1.8835067749023438e-05
