Število povezav,Graf,Dolžina najdaljše poti - Color coding,Čas,Dolžina najdaljše poti - DFS,Čas
10,"{0: [], 1: [2, 3], 2: [1, 3], 3: [0, 1, 4], 4: [0, 2, 3]}",5,0.13515400886535645,5,5.7697296142578125e-05
12,"{0: [1, 2, 4], 1: [0, 2, 3], 2: [0, 1, 3], 3: [1], 4: [0, 1]}",5,0.1504049301147461,5,8.106231689453125e-05
8,"{0: [3, 4], 1: [0, 2], 2: [1, 3], 3: [4], 4: [1]}",5,0.12470197677612305,5,5.3882598876953125e-05
7,"{0: [4], 1: [0, 2], 2: [1, 4], 3: [1, 4], 4: []}",4,0.11812710762023926,4,3.170967102050781e-05
11,"{0: [1, 2, 4], 1: [4], 2: [1, 3, 4], 3: [0, 4], 4: [0, 3]}",4,0.13772106170654297,5,7.677078247070312e-05
4,"{0: [], 1: [4], 2: [0], 3: [1, 2], 4: []}",3,0.09864091873168945,3,2.5033950805664062e-05
8,"{0: [3], 1: [0, 2], 2: [3], 3: [1, 2, 4], 4: [3]}",4,0.11691403388977051,4,4.1961669921875e-05
13,"{0: [1, 3, 4], 1: [0, 2], 2: [0, 1, 3], 3: [1, 2, 4], 4: [1, 3]}",5,0.13721966743469238,5,0.00011277198791503906
9,"{0: [3, 4], 1: [2, 4], 2: [0], 3: [0, 4], 4: [0, 2]}",5,0.11824774742126465,5,4.982948303222656e-05
10,"{0: [], 1: [0, 2, 4], 2: [0, 3, 4], 3: [1, 2, 4], 4: [3]}",4,0.12296915054321289,5,5.1975250244140625e-05
12,"{0: [1, 2, 3, 4], 1: [2, 3], 2: [1, 3, 4], 3: [0, 2], 4: [1]}",5,0.13492131233215332,5,9.298324584960938e-05
12,"{0: [1, 2, 3, 4], 1: [0, 2, 4], 2: [3], 3: [0, 2], 4: [0, 1]}",5,0.13557887077331543,5,7.605552673339844e-05
7,"{0: [4], 1: [3], 2: [1, 4], 3: [1], 4: [1, 3]}",4,0.11380815505981445,4,3.504753112792969e-05
13,"{0: [2, 4], 1: [0, 2, 3, 4], 2: [0, 1, 3, 4], 3: [1, 2], 4: [1]}",5,0.13222479820251465,5,9.489059448242188e-05
12,"{0: [1, 2], 1: [0, 2, 3, 4], 2: [4], 3: [1, 4], 4: [1, 2, 3]}",5,0.13443207740783691,5,7.987022399902344e-05
