Število povezav,Graf,Dolžina najdaljše poti - Color coding,Čas,Dolžina najdaljše poti - DFS,Čas
80,"{0: [1, 3, 4, 6, 7, 8, 10], 1: [3, 4, 5, 7, 8, 9, 10, 11], 2: [1, 3, 4, 5, 6, 9], 3: [0, 5, 6, 7, 8, 10, 11, 12], 4: [0, 5, 6, 8, 11, 12], 5: [0, 2, 6, 8, 12], 6: [1, 4, 8, 9, 11, 12], 7: [2, 6, 8, 9, 10], 8: [0, 2, 3, 5, 9, 10, 11, 12], 9: [6, 7, 11], 10: [1, 2, 3, 4, 5, 7, 9, 12], 11: [0, 4, 6, 7], 12: [1, 2, 3, 5, 9, 10]}",9,120.39712691307068,13,26.330513954162598
82,"{0: [1, 2, 3, 5, 8], 1: [2, 3, 8, 10], 2: [1, 3, 4, 10, 11, 12], 3: [0, 2, 7, 9, 12], 4: [0, 5, 10], 5: [1, 2, 3, 6, 7, 8, 9, 10], 6: [1, 4, 7, 9, 10, 11], 7: [0, 1, 4, 5, 6, 8, 10, 11], 8: [0, 2, 4, 5, 7, 9, 10], 9: [4, 6, 8, 11, 12], 10: [0, 5, 6, 7, 9, 11, 12], 11: [0, 1, 2, 3, 4, 6, 7, 9, 10, 12], 12: [2, 3, 4, 5, 7, 8, 9, 10]}",8,197.2808759212494,13,42.24633598327637
77,"{0: [1, 4, 5, 6, 7, 8], 1: [2, 3, 5, 6, 7, 8, 9, 11], 2: [0, 4, 8], 3: [1, 2, 4, 5, 9, 10, 12], 4: [3, 5, 9, 11, 12], 5: [0, 3, 9, 10, 12], 6: [0, 1, 5, 7, 9, 12], 7: [1, 2, 3, 5, 8, 10, 11], 8: [2, 5, 9, 11], 9: [0, 1, 2, 3, 4, 11], 10: [2, 4, 6, 7, 11, 12], 11: [0, 1, 4, 5, 7, 8, 10, 12], 12: [1, 2, 3, 6, 7, 9]}",8,201.58628106117249,13,22.487338066101074
72,"{0: [1, 2, 3, 4, 12], 1: [0, 3, 5, 6, 7, 8, 10, 11], 2: [1, 3, 4, 7, 8, 9], 3: [2, 8, 9, 10, 11, 12], 4: [2, 3, 6, 8, 9], 5: [6, 10, 11], 6: [0, 1, 4, 5, 8, 10], 7: [0, 3, 4, 6, 8, 11], 8: [1, 3, 4, 7, 9, 11], 9: [0, 3, 6, 10, 11], 10: [0, 1, 3, 4, 6, 7, 9, 11], 11: [3, 9, 10, 12], 12: [4, 7, 9, 10]}",8,158.45807003974915,13,6.651259183883667
78,"{0: [2, 5, 6, 8, 9, 10, 11, 12], 1: [0, 5, 6, 9, 10, 12], 2: [1, 5, 6, 8, 10, 11], 3: [0, 1, 2, 10, 12], 4: [0, 2, 3, 5, 6, 9, 11], 5: [0, 1, 2, 3, 4, 6, 8, 9, 11], 6: [2, 3, 5, 12], 7: [0, 6, 8, 9], 8: [1, 5, 10, 12], 9: [0, 1, 2, 3, 4, 5, 6, 10], 10: [0, 1, 3, 6, 7, 8, 9, 12], 11: [1, 2, 5, 7, 8, 9, 12], 12: [4, 7]}",10,138.30580186843872,13,15.396606922149658
73,"{0: [1, 5, 7, 10], 1: [0, 2, 4, 5, 8], 2: [0, 3, 4, 7, 8, 10, 11], 3: [0, 1, 4, 6], 4: [1, 2, 7, 10, 11], 5: [0, 1, 4, 6, 8, 10, 11], 6: [0, 1, 2, 5, 10, 11, 12], 7: [1, 5, 9], 8: [2, 4, 5, 6, 7, 10, 11, 12], 9: [0, 1, 3, 4, 5, 7], 10: [2, 4, 5, 6, 7, 11], 11: [1, 5, 6, 9, 10], 12: [0, 1, 3, 5, 6, 10]}",8,161.5366702079773,13,5.727261304855347
74,"{0: [1, 2, 4, 5, 9], 1: [2, 5, 6, 8, 9, 11, 12], 2: [1, 3, 4, 5, 6, 10, 11], 3: [2, 4, 8, 11, 12], 4: [0, 1, 3, 5, 7, 10], 5: [1, 7, 11], 6: [1, 2, 3, 8, 11], 7: [2, 6, 8, 12], 8: [1, 3, 4, 7, 9, 10, 11], 9: [0, 4, 11, 12], 10: [0, 2, 3, 4, 5, 6, 7, 8, 9, 11], 11: [0, 2, 9, 10], 12: [0, 3, 5, 8, 9, 10, 11]}",9,130.1991310119629,13,9.516876697540283
80,"{0: [2, 3, 4, 11], 1: [2, 4, 5, 6, 7, 10, 12], 2: [0, 1, 4, 7, 8, 12], 3: [2, 6, 7, 8, 10], 4: [3, 9, 11, 12], 5: [3, 6, 7, 8, 9, 10, 12], 6: [0, 1, 3, 7, 8, 10, 12], 7: [1, 2, 3, 4, 6, 8, 9, 11, 12], 8: [0, 1, 2, 5, 7, 10, 11], 9: [0, 2, 3, 4, 5, 6, 10, 11], 10: [1, 4, 6, 12], 11: [2, 3, 4, 6, 8, 9, 10], 12: [1, 4, 6, 8, 9]}",8,146.45070791244507,13,22.693525075912476
71,"{0: [4, 6, 10, 11], 1: [0, 3, 4, 5, 7, 8, 9, 11, 12], 2: [1, 10, 11, 12], 3: [1, 2, 6, 9], 4: [0, 5, 6, 8, 9, 11, 12], 5: [1, 2, 3, 4, 6, 8], 6: [3, 7, 8, 9, 11], 7: [0, 5, 6, 11, 12], 8: [0, 1, 4, 5, 9], 9: [0, 1, 4, 5, 11], 10: [1, 3, 4, 5, 6, 7, 8, 9, 11], 11: [2, 3, 5, 6, 10, 12], 12: [6, 7]}",9,171.14664101600647,13,6.149409055709839
79,"{0: [2, 7, 8, 9, 10, 11, 12], 1: [0, 2, 3, 4, 8], 2: [5, 6, 8], 3: [0, 1, 2, 4, 5, 6, 7, 8], 4: [0, 1, 2, 6, 9, 10, 12], 5: [0, 2, 3, 6, 7, 8, 10, 11], 6: [0, 1, 7, 11], 7: [0, 3, 5, 11, 12], 8: [0, 1, 3, 4, 5, 6, 9, 10, 11, 12], 9: [0, 4, 5, 6, 8], 10: [0, 2, 3, 6, 7, 8, 9, 12], 11: [0, 5, 7], 12: [0, 2, 3, 5, 6, 8]}",10,133.6334969997406,13,11.048591136932373
